Ref,Val,Package,PosX,PosY,Rot,Side
"D31","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-6.350000,0.000000,top
"D32","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-6.350000,0.000000,top
"D33","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-11.350000,0.000000,top
"D34","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-11.350000,0.000000,top
"D35","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-11.350000,0.000000,top
"D36","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-11.350000,0.000000,top
"D37","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-11.350000,0.000000,top
"D38","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-11.350000,0.000000,top
"D39","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-11.350000,0.000000,top
"D40","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-11.350000,0.000000,top
"D41","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-11.350000,0.000000,top
"D42","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-11.350000,0.000000,top
"D43","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-11.350000,0.000000,top
"D44","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-11.350000,0.000000,top
"D45","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-11.350000,0.000000,top
"D46","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-11.350000,0.000000,top
"D47","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-11.350000,0.000000,top
"D48","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-11.350000,0.000000,top
